key,level,type,category,fullname,publisher,url
jmlr,A,Journal,8,Journal of Machine Learning Research,MIT Press,http://dblp.uni-trier.de/db/journals/jmlr/
tap,B,Journal,8,ACM Transactions on Applied Perception,ACM,http://dblp.uni-trier.de/db/journals/tap/
tslp,B,Journal,8,ACM Transactions on Speech and Language Processing,ACM,http://dblp.uni-trier.de/db/journals/tslp/
aamas,B,Journal,8,Autonomous Agents and Multi-Agent Systems,Springer,http://dblp.uni-trier.de/db/journals/aamas/
coling,B,Journal,8,Computational Linguistics,MIT Press,http://dblp.uni-trier.de/db/journals/coling/
cviu,B,Journal,8,Computer Vision and Image Understanding,Elsevier,http://dblp.uni-trier.de/db/journals/cviu/
dke,B,Journal,8,Data and Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/index.html
ec,B,Journal,8,Evolutionary Computation,MIT Press,http://dblp.uni-trier.de/db/journals/ec/
tac,B,Journal,8,IEEE Transactions on Affective Computing,IEEE,http://dblp.uni-trier.de/db/journals/taffco/
taslp,B,Journal,8,"IEEE Transactions on Audio, Speech, and Language Processing",IEEE,http://dblp.uni-trier.de/db/journals/taslp/
tcyb,B,Journal,8,IEEE Transactions on Cybernetics,IEEE,http://dblp.uni-trier.de/db/journals/tcyb/
tec,B,Journal,8,IEEE Transactions on Evolutionary Computation,IEEE,http://dblp.uni-trier.de/db/journals/tec/
tfs,B,Journal,8,IEEE Transactions on Fuzzy Systems,IEEE,http://dblp.uni-trier.de/db/journals/tfs/
tnnls,B,Journal,8,IEEE Transactions on Neural Networks and learning systems,IEEE,http://dblp.uni-trier.de/db/journals/tnn/
ijar,B,Journal,8,International Journal of Approximate Reasoning,Elsevier,http://dblp.uni-trier.de/db/journals/ijar/
jair,B,Journal,8,Journal of Artificial Intelligence Research,AAAI,http://dblp.uni-trier.de/db/journals/jair/index.html
jar,B,Journal,8,Journal of Automated Reasoning,Springer,http://dblp.uni-trier.de/db/journals/jar/
