key,level,type,category
conf/ssdbm,C,Conference,5
conf/waim,C,Conference,5
conf/ssd,C,Conference,5
conf/pakdd,C,Conference,5
conf/wise,C,Conference,5
journals/tit,A,Journal,6
journals/iandc,A,Journal,6
journals/siamcomp,A,Journal,6
journals/talg,B,Journal,6
journals/tocl,B,Journal,6
journals/toms,B,Journal,6
journals/algorithmica,B,Journal,6
journals/cc,B,Journal,6
journals/fac,B,Journal,6
journals/fmsd,B,Journal,6
journals/informs,B,Journal,6
journals/jcss,B,Journal,6
journals/jgo,B,Journal,6
journals/jsc,B,Journal,6
journals/mscs,B,Journal,6
journals/tcs,B,Journal,6
journals/acta,C,Journal,6
journals/apal,C,Journal,6
journals/dam,C,Journal,6
journals/fuin,C,Journal,6
journals/lisp,C,Journal,6
journals/ipl,C,Journal,6
journals/jc,C,Journal,6
journals/logcom,C,Journal,6
journals/jsyml,C,Journal,6
journals/lmcs,C,Journal,6
journals/siamdm,C,Journal,6
journals/mst,C,Journal,6
conf/stoc,A,Conference,6
conf/soda,A,Conference,6
conf/cav,A,Conference,6
conf/focs,A,Conference,6
conf/lics,A,Conference,6
conf/compgeom,B,Conference,6
conf/esa,B,Conference,6
conf/coco,B,Conference,6
conf/icalp,B,Conference,6
conf/cade,B,Conference,6
conf/concur,B,Conference,6
conf/hybrid,B,Conference,6
conf/sat,B,Conference,6
conf/csl,C,Conference,6
conf/fmcad,C,Conference,6
conf/fsttcs,C,Conference,6
conf/dsaa,C,Conference,6
conf/ictac,C,Conference,6
conf/ipco,C,Conference,6
conf/rta,C,Conference,6
conf/isaac,C,Conference,6
conf/mfcs,C,Conference,6
conf/stacs,C,Conference,6
journals/tog,A,Journal,7
journals/tip,A,Journal,7
journals/tvcg,A,Journal,7
journals/tomccap,B,Journal,7
journals/cagd,B,Journal,7
journals/cgf,B,Journal,7
journals/cad,B,Journal,7
journals/cvgip,B,Journal,7
journals/tcsv,B,Journal,7
journals/tmm,B,Journal,7
journal/jasa,B,Journal,7
journals/siamis,B,Journal,7
journals/speech,B,Journal,7
journals/comgeo,C,Journal,7
